Name,Rating,Reviews,Salary,Jobs,Location
TCS,3.6,99.1k Reviews,9.3L Salaries,264 Jobs,IT Services & Consulting | Bangalore / Bengaluru +413 other locations
Accenture,3.7,63.9k Reviews,6.2L Salaries,18.7k Jobs,IT Services & Consulting | Bangalore / Bengaluru +228 other locations
Wipro,3.7,57.7k Reviews,4.6L Salaries,5.4k Jobs,IT Services & Consulting | Bangalore / Bengaluru +357 other locations
Cognizant,3.7,54.9k Reviews,5.9L Salaries,372 Jobs,IT Services & Consulting | Hyderabad / Secunderabad +212 other locations
Capgemini,3.7,46.5k Reviews,4.6L Salaries,1.7k Jobs,IT Services & Consulting | Bangalore / Bengaluru +175 other locations
HDFC Bank,3.9,44k Reviews,1.4L Salaries,182 Jobs,Banking | Mumbai +1711 other locations
Infosys,3.6,43.2k Reviews,5L Salaries,2.2k Jobs,IT Services & Consulting | Bangalore / Bengaluru +229 other locations
ICICI Bank,4.0,42.3k Reviews,1.5L Salaries,33 Jobs,Banking | Mumbai +1400 other locations
HCLTech,3.5,40k Reviews,3.5L Salaries,415 Jobs,IT Services & Consulting | Chennai +216 other locations
Tech Mahindra,3.5,38.4k Reviews,2.7L Salaries,404 Jobs,IT Services & Consulting | Hyderabad / Secunderabad +320 other locations
Genpact,3.7,36.2k Reviews,2.2L Salaries,376 Jobs,IT Services & Consulting | Hyderabad / Secunderabad +161 other locations
Teleperformance,3.9,32.8k Reviews,92.9k Salaries,511 Jobs,BPO | Mumbai +244 other locations
Concentrix Corporation,3.7,28.7k Reviews,1.2L Salaries,142 Jobs,BPO | Bangalore / Bengaluru +167 other locations
Axis Bank,3.7,28.5k Reviews,1L Salaries,1k Jobs,Banking | Mumbai +1433 other locations
Amazon,4.0,27.5k Reviews,1.3L Salaries,2.9k Jobs,Internet | Bangalore / Bengaluru +500 other locations
Jio,4.1,25.9k Reviews,61.2k Salaries,68 Jobs,Telecom | Mumbai +1506 other locations
iEnergizer,4.7,25k Reviews,22.8k Salaries,22 Jobs,BPO | Noida +45 other locations
Reliance Retail,3.9,24.3k Reviews,67.3k Salaries,106 Jobs,Retail | Mumbai +1101 other locations
IBM,3.9,23.6k Reviews,2.1L Salaries,2.2k Jobs,IT Services & Consulting | Bangalore / Bengaluru +157 other locations
LTIMindtree,3.7,22.9k Reviews,1.8L Salaries,427 Jobs,IT Services & Consulting | Bangalore / Bengaluru +135 other locations
HDB Financial Services,3.9,22.4k Reviews,49.3k Salaries,219 Jobs,NBFC | Mumbai +1040 other locations
Larsen & Toubro Limited,3.9,20.3k Reviews,70.8k Salaries,838 Jobs,Engineering & Construction | Chennai +710 other locations
